Combined,"Include (0), Exclude (1), Duplicate (2)",Title,Dataset updated,Authors,Description,Content,Acknowledgements
,2,Extensive COVID-19 X-Ray and CT Chest Images Dataset,"jun. 12, 2020",Walid El-Shafai,,,
,0,PTX-227: A dataset with 227 pneumothorax chest X-ray images,"Oct 20, 2020","Wang, Yunpeng","Pneumothorax is a common medical emergency defined as the abnormal collection of air in the pleural space between the lung and chest wall. Its typical symptoms include chest pain and dyspnea, leading to oxygen deficiency or even life-threatening in severe cases. Therefore, an efficient and automatic pneumothorax diagnosis algorithm would be useful in many clinical scenarios. Recently, deep learning methods have achieved impressive progress in medical image segmentation tasks. However, large-scale dataset is one of the critical components for the success of deep learning. On the other hand, there are few public chest X-ray images with pneumothorax.",,
,0,PTX-498: A multi-center pneumothorax segmentation chest X-ray image dataset,"mar. 18, 2021","Wang, Yunpeng","Pneumothorax is a common medical emergency defined as the abnormal collection of air in the pleural space between the lung and chest wall. Its typical symptoms include chest pain and dyspnea, leading to oxygen deficiency or even life-threatening in severe cases. Therefore, an efficient and automatic pneumothorax diagnosis algorithm would be useful in many clinical scenarios. Recently, deep learning methods have achieved impressive progress in medical image segmentation tasks. However, a large-scale dataset is one of the critical components for the success of deep learning. On the other hand, there are few public chest X-ray images with pneumothorax.",,
MIMIC-CXR dataset,2,Data from: Chest X-ray Dataset with Lung Segmentation,"feb. 8, 2023",Wimukthi Indeewara; Mahela Hennayake; Kasun Rathnayake; Thanuja Ambegoda; Dulani Meedeniya,,,
,0,ChestX-ray14 Dataset,,Xiaosong Wang; Yifan Peng; Le Lu; Zhiyong Lu; Mohammadhadi Bagheri; Ronald M. Summers,"ChestX-ray14 is a medical imaging dataset which comprises 112,120 frontal-view X-ray images of 30,805 (collected from the year of 1992 to 2015) unique patients with the text-mined fourteen common disease labels, mined from the text radiological reports via NLP techniques. It expands on ChestX-ray8 by adding six additional thorax diseases: Edema, Emphysema, Fibrosis, Pleural Thickening and Hernia.",,
,2,ChestX-ray8 Dataset,,Xiaosong Wang; Yifan Peng; Le Lu; Zhiyong Lu; Mohammadhadi Bagheri; Ronald M. Summers,"ChestX-ray8 is a medical imaging dataset which comprises 108,948 frontal-view X-ray images of 32,717 (collected from the year of 1992 to 2015) unique patients with the text-mined eight common disease labels, mined from the text radiological reports via NLP techniques.",,
,0,Chest X-Rays Dataset,"jan. 29, 2018",Yash Prakash,,,
"Thanks to Italian Society of Medical and Interventional Radiology (SIRM) COVID-19 Database [1], Novel Corona Virus 2019 Dataset, Radiopaedia, Chest Imaging (Spain) at thread reader and online articles and news-portals (until April 16th), SIRM COVID-19 database, Joseph Paul Cohen et al.[2] database.",0,"COVID-19, SARS, MERS X-ray Images Dataset","Oct 19, 2020",Yazan Qiblawey,,,
"Many thanks prof. Joseph Cohen and your team, and all medical websites that published CXR and CT images of confirmed COVID-19 Also, thanks a lot for Paul Mooney to available normal cases. To collect this COVID-19 dataset with the aim of facilitating and saving time for researchers and developers.",2,COVID-2019 Dataset with Chest X-Ray Images,"aug. 5, 2020",Zainab Ali,,,
,1,[BEGINNER] Chest X-Ray Image Classification,"feb. 22, 2022",,,,
,0,"Automaton AI Chest X-Ray Data - for deep learning, image processing","jan. 8, 2021",,"Chest X-Ray Data for pneumonia, covid, asthma detection can be used for developing Deep Learning models",,
,0,BIMCV-COVID-19+ complete dataset,,,"BIMCV-COVID19+ dataset is a large dataset with chest X-ray images CXR (CR, DX) and computed tomography (CT) imaging of COVID-19 patients along with their radiographic findings, pathologies, polymerase chain reaction (PCR), immunoglobulin G (IgG) and immunoglobulin M (IgM) diagnostic antibody tests and radiographic reports from Medical Imaging Databank in Valencian Region Medical Image Bank (BIMCV). The findings are mapped onto standard Unified Medical Language System (UMLS) terminology and they cover a wide spectrum of thoracic entities, contrasting with the much more reduced number of entities annotated in previous datasets. Images are stored in high resolution and entities are localized with anatomical labels in a Medical Imaging Data Structure (MIDS) format. In addition, 23 images were annotated by a team of expert radiologists to include semantic segmentation of radiographic findings. Moreover, extensive information is provided,including the patient’s demographic information, type of projection and acquisition parameters for the imaging study, among others. These iterations of the database include 21342 CR, 34829 DX and 7918 CT studies",,
,0,Chest X-Ray Dataset for Respiratory Disease Classification,"feb. 10, 2022",,,,
,0,Chest X-Ray Images (Pediatric Pneumonia),"dec. 23, 2018",,"The dataset is organized into 3 folders (train, test, val) and contains subfolders for each image category (Pneumonia/Normal). There are 5,863 X-Ray images (JPEG) and 2 categories (Pneumonia/Normal). Chest X-ray images (anterior-posterior) were selected from retrospective cohorts of pediatric patients of one to five years old from Guangzhou Women and Children’s Medical Center, Guangzhou. All chest X-ray imaging was performed as part of patients’ routine clinical care. For the analysis of chest x-ray images, all chest radiographs were initially screened for quality control by removing all low quality or unreadable scans. The diagnoses for the images were then graded by two expert physicians before being cleared for training the AI system. In order to account for any grading errors, the evaluation set was also checked by a third expert. ## Acknowledgements Data: License: CC BY 4.0 ## Citation: .",,
,0,Chest X-ray images Dataset,"aug. 10, 2022",,Chest X-ray images for pneumonia detection.,,
,0,Chest X-Ray Images with Pneumothorax Masks,"jan. 3, 2020",,,,
,0,Chest X-rays (Indiana University),,,,,
,0,CheXpert: Chest X-rays,"May 27, 2020",,"CheXpert is a dataset consisting of 224,316 chest radiographs of 65,240 patients who underwent a radiographic examination from Stanford University Medical Center between October 2002 and July 2017, in both inpatient and outpatient centers. Included are their associated radiology reports.",,
,0,COVID-19 Chest X-rays (NY-SBU),"nov. 30, 2021",,,,
"yes, COVID-19 cxr image (https://github.com/ieee8023/covid-chestxray-dataset), Radiological Society of North America (RSNA) (https://www.kaggle.com/c/rsna-pneumonia-detection-challenge), and U.S. national library of medicine (USNLM) collected Montgomery country - NLM(MC) (https://lhncbc.nlm.nih.gov/publication/pub9931).",0,COVID-19 Posteroanterior Chest X-Ray fused (CPCXR) dataset,"Oct 27, 2020",,,,
,0,Covid-chestXray,"mar. 3, 2021",,,,
"1. NIH Chest X-ray Dataset of 14 Common Thorax Disease 2. Tuberculosis (TB) Chest X-ray Database 3. COVID-19 CHEST X-RAY DATABASE 4. ""https://data.mendeley.com/datasets/rscbjbr9sj/2"">Labeled Optical Coherence Tomography (OCT) and Chest X-Ray Images for Classification",0,Covid19 Detection,"May 27, 2021",,,,
check up,0,COVID19+PNEUMONIA+NORMAL Chest X-Ray Image Dataset,"jan. 18, 2021",,"Content - It is a medical images directory structure branched into 3 subfolders (COVID, NORMAL, PNEUMONIA) which contains the Chest X-ray (CXR) Images. COVID: 1626 images NORMAL: 1802 images PNEUMONIA: 1800 images",,
,1,Data from: X-Ray Image Dataset,"feb. 20, 2023",,,,
no access,1,Deep learning of chest X-rays can predict mechanical ventilation outcome in ICU-admitted COVID-19 patients,"Oct 11, 2022",,,,
,2,Generalized Image Embeddings for the MIMIC Chest X-Ray dataset,,,,,
. https://www.kaggle.com/tawsifurrahman/tuberculosis-tb-chest-xray-dataset 2. https://www.kaggle.com/usmanshams/tbx-11 3. https://www.kaggle.com/tolgadincer/labeled-chest-xray-images 4. https://www.kaggle.com/raddar/tuberculosis-chest-xrays-montgomery 5. https://www.kaggle.com/raddar/tuberculosis-chest-xrays-shenzhen,2,Imbalanced Tuberculosis and Pneumonia dataset,"feb. 10, 2022",,,,
,2,Indiana University - Chest X-Rays (PNG Images),"jan. 8, 2019",,"1000 radiology reports for the chest x-ray images from the Indiana University hospital network. To identify images associated with the reports, use XML tag. More than one image could be associated with a report)",,
,2,Indiana University - Chest X-Rays (XML Reports),"dec. 9, 2018",,,,
,0,Lung Diseases X-Rays (Grayscale),"dec. 21, 2022",,,,
Shenzhen Hospital X-ray Set (5) X-ray images in this data set have been collected by Shenzhen No.3 Hospital in Shenzhen,2,Lung Masks for Shenzhen Hospital Chest X-ray Set,"mar. 3, 2018",,,,
,0,Montgomery County X-ray Set Dataset,,,,,
,2,NIH Chest X-ray Dataset (Resized to 224x224),"Oct 12, 2017",,"This dataset is resized versions of images to 224x224. ![]() (1, Atelectasis; 2, Cardiomegaly; 3, Effusion; 4, Infiltration; 5, Mass; 6, Nodule; 7, Pneumonia; 8, Pneumothorax; 9, Consolidation; 10, Edema; 11, Emphysema; 12, Fibrosis; 13, Pleural_Thickening; 14 Hernia) ### Background & Motivation: Chest X-ray exam is one of the most frequent and cost-effective medical imaging examination. However clinical diagnosis of chest X-ray can be challenging, and sometimes believed to be harder than diagnosis via chest CT imaging. Even some promising work have been reported in the past, and especially in recent deep learning work on Tuberculosis (TB) classification. To achieve clinically relevant computer-aided detection and diagnosis (CAD) in real world medical sites on all data settings of chest X-rays is still very difficult, if not impossible when only several thousands of images are employed for study. This is evident from [2] where the performance deep neu",,
,2,NIH Chest X-ray Dataset of 14 Common Thorax Disease Categories,"Oct 12, 2017",,,,
,0,NIH Chest X-rays,"feb. 21, 2018",,NIH Chest X-ray Dataset,,
yes,0,Novel COVID-19 Chestxray Repository Dataset,"sep. 8, 2021",,,,
,2,Padchest complete dataset,"jan. 15, 2019",,"A labeled large-scale, high resolution chest x-ray dataset for automated ex-ploration of medical images along with their associated reports. This dataset includes more than 160,000 images from 67,000 patients that were interpreted and reported by radiologists at Hospital San Juan (Spain) from 2009 to 2017, covering six different position views and additional information on image acquisition and patient demography - 1.2TB",,
,2,Padchest Sample,"jan. 15, 2019",,"A sample of a labeled large-scale, high resolution chest x-ray dataset for automated ex-ploration of medical images along with their associated reports. This dataset includes more than 160,000 images from 67,000 patients that were interpreted and reported by radiologists at Hospital San Juan (Spain) from 2009 to 2017, covering six different position views and additional information on image acquisition and patient demography - 167MB",,
,2,Random Sample of NIH Chest X-ray Dataset,"nov. 23, 2017",,,,
,0,Shenzhen Hospital X-ray Set,"feb. 12, 2019",,,,
,2,Shenzhen Hospital X-ray Set Dataset,"mar. 14, 2018",,,,
,1,SPR X-Ray Age and Gender Dataset,,,,,
Original TBX11K dataset on Kaggle,2,TBX11K Simplified - TB X-rays with bounding boxes,"feb. 8, 2023",,,,
Chest X-ray8,2,Test image list,"jan. 19, 2023",,,,
,1,V2 Balloon Detection Dataset,"jul. 7, 2022",,,,
,2,VinBigData Chest X-ray (Numpy),"jan. 3, 2021",,,,
,2,VinBigData Chest X-Ray DICOM Metadata,"Oct 23, 2021",,,,
,0,X-Ray Lung Image Dataset,"jun. 10, 2020",,,,
